File,Size (Human),Size (Bytes),Gzipped Size (Human),Gzipped Size (Bytes),Compression Ratio,Number of Examples
aeb_Arab_data.jsonl,594.40 MB,623273088,147.30 MB,154451402,24.8%,262884
afr_Latn_data.jsonl,11.64 GB,12496774779,4.45 GB,4781944805,38.3%,4136664
aka_Latn_data.jsonl,25.76 MB,27014100,9.01 MB,9444157,35.0%,4768
amh_Ethi_data.jsonl,3.75 GB,4027695752,1.04 GB,1121821796,27.9%,677690
arz_Arab_data.jsonl,3.88 GB,4165053531,1.09 GB,1170225757,28.1%,2526168
bam_Latn_data.jsonl,29.93 MB,31383088,7.06 MB,7407685,23.6%,14746
bem_Latn_data.jsonl,3.97 MB,4157790,1.37 MB,1432881,34.5%,1143
cjk_Latn_data.jsonl,81.79 KB,83756,24.13 KB,24710,29.5%,44
dik_Latn_data.jsonl,3.17 MB,3328890,1.07 MB,1122730,33.7%,611
dyu_Latn_data.jsonl,6.53 MB,6845028,2.00 MB,2101869,30.7%,2692
eng_Latn_data.jsonl,4.23 GB,4547144294,1.67 GB,1793830336,39.4%,1465688
ewe_Latn_data.jsonl,34.98 MB,36682212,11.73 MB,12301883,33.5%,4544
fon_Latn_data.jsonl,9.79 MB,10262740,3.07 MB,3214280,31.3%,1065
fra_Latn_data.jsonl,3.96 GB,4248475688,1.50 GB,1605464443,37.8%,1286817
fuv_Latn_data.jsonl,273.84 KB,280409,78.60 KB,80489,28.7%,26
gaz_Latn_data.jsonl,243.53 MB,255363791,84.53 MB,88635109,34.7%,99651
hau_Latn_data.jsonl,1.23 GB,1318350635,421.80 MB,442291168,33.5%,738964
ibo_Latn_data.jsonl,830.76 MB,871117397,263.75 MB,276564047,31.7%,271015
kab_Latn_data.jsonl,9.22 MB,9666129,3.96 MB,4154125,43.0%,7717
kam_Latn_data.jsonl,2.34 MB,2455460,774.22 KB,792800,32.3%,1218
kbp_Latn_data.jsonl,19.61 MB,20558356,6.32 MB,6621817,32.2%,4267
kin_Latn_data.jsonl,1.15 GB,1232948697,422.74 MB,443278456,36.0%,487071
kmb_Latn_data.jsonl,8.36 MB,8768336,2.55 MB,2678130,30.5%,1670
knc_Arab_data.jsonl,9.88 MB,10357031,2.63 MB,2762233,26.7%,290
knc_Latn_data.jsonl,810.73 KB,830183,206.96 KB,211930,25.5%,437
kon_Latn_data.jsonl,2.54 MB,2664011,903.60 KB,925287,34.7%,365
lin_Latn_data.jsonl,70.13 MB,73538570,24.14 MB,25316468,34.4%,18574
lug_Latn_data.jsonl,111.75 MB,117176365,41.82 MB,43855294,37.4%,45992
luo_Latn_data.jsonl,5.58 MB,5849981,2.00 MB,2093743,35.8%,2210
nus_Latn_data.jsonl,505.00 KB,517122,163.15 KB,167063,32.3%,152
plt_Latn_data.jsonl,1.29 GB,1389187940,450.15 MB,472019110,34.0%,609872
por_Latn_data.jsonl,4.02 GB,4315359115,1.54 GB,1654313932,38.3%,1375915
run_Latn_data.jsonl,155.33 MB,162878486,57.46 MB,60250511,37.0%,89146
sag_Latn_data.jsonl,34.68 MB,36360438,10.12 MB,10616514,29.2%,6643
sna_Latn_data.jsonl,725.59 MB,760833803,262.35 MB,275098605,36.2%,281766
som_Latn_data.jsonl,2.21 GB,2368922472,814.97 MB,854562741,36.1%,1529177
sot_Latn_data.jsonl,742.15 MB,778204071,247.89 MB,259929354,33.4%,247771
spa_Latn_data.jsonl,4.25 GB,4561753718,1.61 GB,1724950963,37.8%,1375820
ssw_Latn_data.jsonl,12.35 MB,12945422,4.25 MB,4455630,34.4%,2757
swc_Latn_data.jsonl,4.76 GB,5112611708,1.69 GB,1818666230,35.6%,2341117
taq_Tfng_data.jsonl,988.91 KB,1012648,174.02 KB,178194,17.6%,208
tir_Ethi_data.jsonl,469.35 MB,492151815,134.03 MB,140545295,28.6%,82664
tsn_Latn_data.jsonl,242.82 MB,254616027,73.76 MB,77342047,30.4%,162815
tso_Latn_data.jsonl,37.62 MB,39444757,12.18 MB,12775117,32.4%,5198
twi_Latn_data.jsonl,29.45 MB,30884640,10.97 MB,11503533,37.2%,5663
tzm_Tfng_data.jsonl,10.40 MB,10909955,2.18 MB,2286650,21.0%,2455
umb_Latn_data.jsonl,1.44 MB,1506775,476.81 KB,488249,32.4%,709
wol_Latn_data.jsonl,4.55 MB,4766606,1.72 MB,1807492,37.9%,879
xho_Latn_data.jsonl,693.13 MB,726801850,253.45 MB,265760330,36.6%,222960
yor_Latn_data.jsonl,677.47 MB,710380488,220.71 MB,231435355,32.6%,260843
zul_Latn_data.jsonl,927.12 MB,972160090,337.53 MB,353924364,36.4%,336880
